date,opponent,div_rank,gb,attendance,cLI,winning_percentage,year,total_games_played,weekday,month,night_game,pop_opp
"Monday, Apr 11",MIN,4,-2.5,57806,.78,0.167,1994,5,1,Apr,1,0
"Tuesday, Apr 12",MIN,4,-2.0,13489,.86,0.286,1994,6,1,Apr,1,0
"Wednesday, Apr 13",MIN,4,-3.0,16207,.91,0.25,1994,7,1,Apr,0,0
"Friday, Apr 15",MIL,4,-2.0,16969,.86,0.333,1994,8,0,Apr,1,0
"Saturday, Apr 16",MIL,4,-2.5,32990,.92,0.3,1994,9,0,Apr,1,0
"Sunday, Apr 17",MIL,3,-2.5,18307,.88,0.364,1994,10,0,Apr,0,0
"Monday, Apr 25",BOS,1,0.0,35468,.95,0.389,1994,17,1,Apr,1,1
"Tuesday, Apr 26",BOS,1,0.0,14093,1.00,0.421,1994,18,1,Apr,1,1
"Wednesday, Apr 27",NYY,1,0.0,22697,1.01,0.4,1994,19,1,Apr,1,1
"Thursday, Apr 28",NYY,1,0.0,13477,1.02,0.429,1994,20,1,Apr,1,1
"Friday, Apr 29",BAL,1,1.0,21203,1.07,0.455,1994,21,0,Apr,1,0
"Saturday, Apr 30",BAL,1,0.0,50006,1.06,0.435,1994,22,0,Apr,1,0
"Sunday, May 1",BAL,1,0.0,20962,1.07,0.458,1994,23,0,May,0,0
"Friday, May 13",CAL,3,-1.5,17256,1.40,0.394,1994,32,0,May,1,0
"Saturday, May 14",CAL,3,-1.5,33579,1.30,0.412,1994,33,0,May,1,0
"Sunday, May 15",CAL,2,-0.5,33193,1.36,0.429,1994,34,0,May,0,0
"Monday, May 16",KCR,2,-1.5,23290,1.05,0.417,1994,35,1,May,1,0
"Tuesday, May 17",KCR,2,-2.5,18815,1.01,0.405,1994,36,1,May,0,0
"Wednesday, May 18",KCR,3,-3.5,11976,.98,0.395,1994,37,1,May,1,0
"Thursday, May 19",TEX,3,-2.5,16283,1.34,0.41,1994,38,1,May,1,0
"Friday, May 20",TEX,3,-1.5,22406,1.43,0.425,1994,39,0,May,1,0
